age,home_owner,income,months_employed,years_employed,personal_account_m,personal_account_y,has_debt,amount_requested,risk_score,risk_score_2,risk_score_3,risk_score_5,ext_quality_score,ext_quality_score_2,inquiries_last_month
45,1,5075,0,1,2,2,1,800,62550,0.52575042,0.821657838,0.688554777,0.431852,0.631852,6
55,0,2575,0,6,2,6,1,1100,87600,0.614643697,0.950597055,0.745261926,0.704012,0.704012,2
32,1,3025,0,3,4,3,1,600,72150,0.614780672,0.878838212,0.599595609,0.451792,0.751792,8
30,1,6110,0,5,6,3,1,2100,54100,0.545503361,0.867626594,0.581479304,0.695088,0.795088,6
61,1,3025,0,3,1,5,1,400,66300,0.785362185,0.891183336,0.768057905,0.63709,0.43709,5
26,0,2025,6,1,3,3,1,400,73650,0.807165546,0.894538966,0.884462779,0.701844,0.701844,4
27,1,3687,1,3,2,3,0,700,40450,0.64887563,0.863137457,0.469208186,0.391971,0.691971,8
31,1,3040,0,5,3,2,1,500,39000,0.610309244,0.896761088,0.76805106,0.618116,0.718116,7
33,0,2060,0,6,4,3,1,400,43350,0.459363025,0.875471359,0.582647298,0.744313,0.744313,2
55,0,2262,0,1,2,3,1,600,33500,0.581065546,0.84295879,0.824514342,0.496644,0.296644,6
59,1,3130,0,5,1,3,0,900,56250,0.819511765,0.855393697,0.804862104,0.625535,0.925535,15
38,0,3215,5,1,6,4,1,400,53200,0.811090756,0.872183067,0.70629972,0.65463,0.75463,5
59,0,3000,0,3,2,2,1,500,79000,0.779152941,0.957510325,0.855545316,0.898453,0.598453,2
39,0,2540,0,2,7,4,1,700,55750,0.683376471,0.897872149,0.741212026,0.476804,0.576804,6
29,0,2645,0,1,2,2,0,1450,83350,0.680554622,0.81818998,0.53935282,0.375255,0.375255,5
22,1,3290,7,1,8,3,1,800,46000,0.681058824,0.827134584,0.722298234,0.798259,0.698259,4
34,1,2280,0,3,7,2,1,400,62800,0.734967227,0.849759831,0.704605488,0.529755,0.729755,2
58,1,3750,0,2,1,4,0,800,66050,0.774771429,0.978800054,0.937258647,0.469559,0.669559,8
39,1,2580,9,2,9,10,1,1200,48550,0.743313445,0.881105225,0.78929656,0.846313,0.846313,3
36,0,2475,0,3,2,4,1,400,53150,0.670327731,0.950675615,0.776777211,0.793155,0.693155,5
42,0,1690,0,2,6,3,1,900,74350,0.741823529,0.761076944,0.706597494,0.525668,0.625668,3
22,0,1655,0,7,2,7,0,900,61100,0.861741176,0.975298528,0.924396173,0.606166,0.906166,3
44,0,3940,0,13,4,3,1,600,86450,0.682856303,0.91146301,0.667369174,0.439738,0.539738,2
33,1,4280,0,1,4,2,1,1050,78200,0.646973109,0.921563566,0.869391813,0.591868,0.591868,5
24,0,3295,6,0,6,3,1,1200,63000,0.74337479,0.883405908,0.744437913,0.607619,0.807619,3
76,0,2770,0,4,3,2,1,700,33350,0.631804202,0.878927994,0.683602143,0.661392,0.461392,5
25,0,2405,0,1,2,3,1,400,39550,0.836708403,0.884427186,0.686909318,0.551823,0.751823,6
50,0,3165,0,2,2,2,1,700,87550,0.636430252,0.855315137,0.822393984,0.808443,0.508443,7
37,0,2535,0,7,1,5,1,600,51800,0.673121849,0.854147962,0.740773922,0.485439,0.585439,13
46,1,3005,0,3,1,5,1,700,54100,0.585051261,0.925996588,0.78235962,0.568509,0.468509,4
47,1,3215,0,4,5,3,1,500,76000,0.681107563,0.864282187,0.687119814,0.434609,0.634609,2
25,0,3170,9,1,0,1,1,400,58950,0.640757143,0.789100377,0.7608018,0.785277,0.685277,6
45,0,1940,5,1,1,3,1,400,69700,0.621687395,0.868748878,0.517481823,0.669376,0.569376,7
31,1,3815,0,1,1,3,0,1200,64900,0.730951261,0.737497755,0.601794688,0.655194,0.555194,5
39,1,5060,0,6,6,3,1,400,44700,0.669038655,0.885583139,0.767346841,0.648639,0.648639,13
53,0,3335,0,2,2,1,1,500,39000,0.62357395,0.899072993,0.719410339,0.493575,0.793575,16
52,0,9050,0,7,2,3,0,700,83850,0.790015126,0.92154112,0.770704501,0.629004,0.529004,5
39,1,3165,1,2,7,2,1,700,51550,0.72665042,0.763310289,0.541320868,0.63627,0.53627,4
57,1,2972,1,6,4,6,1,600,44850,0.73934958,0.95634315,0.768300916,0.874166,0.774166,6
20,0,1740,0,3,1,3,1,700,49350,0.768042017,0.95298752,0.915612692,0.687037,0.587037,7
45,0,2770,4,1,5,3,1,450,48450,0.62534958,0.800233435,0.655495002,0.430012,0.730012,7
37,0,3170,0,4,4,2,1,900,64250,0.660428571,0.887726701,0.752233092,0.57457,0.27457,7
37,0,3070,8,4,9,2,1,1100,68250,0.639732773,0.846235859,0.549902411,0.594798,0.594798,7
51,0,3615,0,6,1,0,1,2400,79700,0.739289076,0.793499731,0.602714536,0.743789,0.643789,4
25,0,2560,0,5,1,2,1,600,70600,0.709314286,0.827291704,0.792438591,0.640086,0.740086,6
26,0,4080,0,2,6,2,1,10100,67400,0.696960504,0.930530616,0.787539008,0.777244,0.677244,6
45,0,2110,0,5,2,5,0,600,34100,0.630496639,0.868804992,0.660843813,0.643284,0.443284,2
60,0,3105,0,2,3,3,1,400,79900,0.699514286,0.988754714,0.699259244,0.886623,0.886623,2
41,0,4165,0,3,6,4,1,4900,73750,0.570802521,0.867727599,0.638416629,0.449969,0.649969,5
61,1,4120,6,3,7,3,1,1700,92550,0.847963025,0.945041749,0.820117895,0.542922,0.642922,5
32,1,2035,0,2,6,3,1,1100,79550,0.803810924,0.888860208,0.82312045,0.566924,0.566924,6
35,1,2900,0,6,2,4,0,600,55600,0.677958824,0.915963369,0.565247191,0.556693,0.456693,5
58,1,3500,0,4,6,3,1,2800,67950,0.654464706,0.866616538,0.651296216,0.539538,0.539538,2
33,0,2610,0,6,1,3,1,800,74450,0.630544538,0.856426199,0.731269964,0.702665,0.802665,7
52,0,5055,0,7,6,4,1,1100,50800,0.600489916,0.902428623,0.573037236,0.748415,0.448415,4
52,1,6135,2,5,4,2,1,700,42200,0.729160504,0.915806249,0.679511171,0.363826,0.363826,6
43,1,2695,0,2,1,4,1,500,62900,0.655689076,0.901227779,0.848660573,0.697678,0.497678,7
53,0,3575,0,9,0,0,1,700,69950,0.488985714,0.913640241,0.689915297,0.765946,0.465946,5
53,0,2580,1,3,1,0,1,500,55200,0.787346218,0.960742503,0.951236918,0.636403,0.736403,5
34,0,2410,0,3,2,3,1,1000,69750,0.564678151,0.900105495,0.669075386,0.751409,0.651409,3
55,1,3200,0,6,2,3,0,600,63150,0.766865546,0.836112857,0.670316111,0.420523,0.420523,4
57,1,2470,0,3,6,3,1,900,32100,0.686063025,0.901328784,0.898596782,0.548114,0.648114,6
22,0,1755,3,6,5,3,1,600,46950,0.645405882,0.905885258,0.648343289,0.447809,0.647809,5
31,0,3475,5,1,6,2,1,900,57400,0.615173109,0.876604866,0.646318767,0.53203,0.63203,3
61,1,5452,0,2,2,3,0,600,73400,0.744365546,0.873226791,0.76128611,0.8307,0.8307,6
34,1,4640,1,3,1,1,1,2800,75300,0.561584034,0.738664931,0.410526145,0.515631,0.515631,9
67,1,3255,0,4,2,4,1,1100,60350,0.76377479,0.860814329,0.582653287,0.651138,0.451138,2
53,0,1900,0,3,2,4,1,900,62250,0.660321008,0.803667624,0.633908944,0.555742,0.455742,11
25,0,2200,0,3,1,4,0,600,52400,0.394821849,0.868861106,0.658067155,0.600136,0.600136,3
36,1,3100,6,0,1,3,0,700,57600,0.567467227,0.773321063,0.601749337,0.458872,0.458872,4
26,1,3345,8,9,4,1,1,400,59600,0.627837815,0.757620309,0.689888771,0.594526,0.594526,9
31,0,3265,6,0,3,3,1,900,61500,0.667094118,0.772176333,0.784716143,0.413886,0.513886,3
45,1,3105,2,0,3,3,1,1150,74550,0.73512521,0.894494074,0.773758397,0.543365,0.643365,2
34,0,5507,0,3,2,4,0,700,49750,0.622948739,0.791423505,0.640153645,0.634714,0.734714,17
52,0,4115,0,3,2,5,1,2400,58050,0.667994118,0.849625157,0.792169054,0.613037,0.813037,22
34,0,2000,0,2,6,3,1,600,43250,0.807383193,0.9864877,0.780599501,0.585015,0.785015,13
59,1,3195,5,1,3,2,1,700,68050,0.767667227,0.892215838,0.749147536,0.606252,0.506252,9
28,0,3535,0,4,3,2,1,500,35950,0.675765546,0.828402765,0.576447948,0.594896,0.694896,15
48,0,4740,0,3,1,3,1,1250,77850,0.744087395,0.87666098,0.566067781,0.52559,0.82559,6
48,0,5275,0,2,1,2,0,2750,86400,0.742506723,0.91031828,0.935988828,0.901563,0.801563,10
25,0,1845,0,3,2,6,0,400,38100,0.743021849,0.894617526,0.548090096,0.595723,0.695723,3
52,1,8762,0,2,2,3,0,1100,72650,0.734110924,0.948330041,0.684392785,0.464175,0.464175,4
42,0,4240,0,4,6,4,1,600,57750,0.719746218,0.799257048,0.732770814,0.469652,0.469652,6
46,1,5170,0,2,3,3,1,600,78150,0.696336975,0.955265757,0.742673515,0.550826,0.850826,11
28,1,2175,10,1,3,2,1,500,32700,0.67447479,0.900105495,0.692164861,0.449924,0.549924,15
29,0,2175,0,2,4,8,1,1100,50600,0.563736134,0.893484019,0.699149718,0.410252,0.410252,9
55,1,3170,5,1,4,3,1,1300,81650,0.71035042,0.810390106,0.634642256,0.850858,0.850858,3
29,0,2550,0,2,2,3,1,1100,74400,0.804212605,0.894505297,0.804912589,0.695449,0.495449,6
37,0,2920,0,7,5,2,0,400,56300,0.700407563,0.853081792,0.835496046,0.45018,0.65018,4
53,0,2130,9,0,2,3,0,400,55550,0.58917395,0.841836506,0.58595704,0.468988,0.368988,6
55,0,4220,0,10,4,1,0,400,77750,0.652136975,0.98435536,0.783661954,0.559663,0.759663,14
45,0,1868,9,1,4,3,1,550,39350,0.639297479,0.765554857,0.70537816,0.407759,0.507759,28
35,0,3785,0,5,1,4,0,400,63800,0.560593277,0.889062219,0.532662315,0.461237,0.261237,7
89,1,3030,0,2,6,4,1,600,82300,0.648102521,0.936108368,0.701172528,0.432443,0.532443,5
20,0,4145,4,4,3,3,1,400,46250,0.70700084,0.921485006,0.846967196,0.720527,0.620527,6
37,0,5275,0,2,2,2,1,1100,44650,0.744021008,0.970977734,0.679686584,0.626029,0.326029,9
35,0,2878,0,3,2,4,0,700,44850,0.79140084,0.837425929,0.887484159,0.631469,0.731469,4
45,0,2375,0,2,1,3,1,600,76250,0.661034454,0.945176423,0.941300845,0.706255,0.606255,8
61,1,4205,0,2,7,3,1,800,52500,0.557353782,0.864259741,0.794712113,0.474561,0.574561,13
34,0,4150,6,0,2,4,1,700,52200,0.522557983,0.900195277,0.562189872,0.523302,0.423302,5
48,1,1920,9,5,2,7,1,400,61400,0.601461345,0.89573981,0.549251244,0.470337,0.470337,3
38,0,2715,0,1,1,8,1,500,42050,0.664404202,0.837235141,0.739789898,0.500492,0.700492,9
44,1,5145,0,2,1,2,1,1800,88950,0.794536134,0.924829413,0.832053675,0.591559,0.891559,2
38,1,2640,0,3,1,0,1,400,88450,0.565106723,0.754242234,0.553480834,0.505313,0.405313,3
32,0,3158,0,3,4,2,1,500,33800,0.672343697,0.918028371,0.650963359,0.610035,0.810035,5
51,1,4620,1,4,1,3,0,800,44550,0.653140336,0.859736937,0.508482712,0.489164,0.489164,2
25,0,1740,4,0,4,2,1,600,67700,0.703748739,0.803678847,0.862588359,0.438423,0.538423,6
42,1,5665,0,4,5,3,1,400,66200,0.765831933,0.914818639,0.837943271,0.83211,0.53211,7
63,1,5165,5,3,6,4,1,900,68050,0.605373109,0.893506464,0.631217853,0.550809,0.550809,5
43,0,2025,0,2,2,4,1,900,69150,0.722422689,0.908073712,0.86194147,0.56732,0.66732,6
36,0,6160,10,0,7,3,1,1200,64150,0.818496639,0.958430598,0.891788194,0.701573,0.501573,9
32,0,5195,0,3,3,2,1,1200,57650,0.638513445,0.859692045,0.578382624,0.518851,0.418851,6
49,0,5000,0,3,6,3,1,600,44750,0.73770084,0.967599659,0.833569927,0.5359,0.6359,3
42,1,2025,4,1,5,2,1,400,65100,0.674754622,0.883260011,0.532616964,0.912132,0.912132,4
24,0,3145,0,5,5,2,1,500,32900,0.710668067,0.799189711,0.710530166,0.644107,0.544107,4
54,0,8265,4,4,6,6,1,3050,86600,0.702815966,0.877749596,0.635947157,0.487507,0.587507,2
37,1,2660,0,7,2,7,1,1600,61200,0.760838655,0.926063925,0.757541686,0.590223,0.790223,8
31,0,2218,2,3,3,2,1,700,59250,0.642992437,0.863115012,0.75206538,0.559096,0.359096,9
42,1,3150,0,4,5,2,1,800,76500,0.718719328,0.766564913,0.562083769,0.45312,0.75312,5
52,1,2853,0,2,2,4,1,800,67550,0.515694118,0.852026845,0.667001235,0.391533,0.591533,20
27,0,5120,9,1,5,2,1,1700,51750,0.532819328,0.845079907,0.7828619,0.411502,0.411502,7
64,0,4498,0,1,2,3,0,400,86700,0.737908403,0.886817651,0.84979605,0.582948,0.882948,6
33,1,3720,0,3,2,3,0,700,32800,0.586247899,0.759842431,0.803430563,0.374041,0.674041,3
39,0,3115,0,3,4,2,0,1300,55850,0.721934454,0.85753726,0.541568157,0.618054,0.518054,3
46,0,3878,3,0,2,4,0,400,30150,0.56712605,0.863058897,0.774893875,0.501529,0.501529,8
41,0,3695,0,5,2,7,0,400,38250,0.693407563,0.810412552,0.6535338,0.595097,0.395097,2
21,0,2230,0,1,7,4,1,1900,73150,0.729786555,0.844047405,0.737176673,0.748291,0.848291,6
47,0,5060,0,3,1,5,1,1200,71800,0.684653782,0.802601454,0.592226555,0.594923,0.794923,7
24,0,6070,6,2,3,3,1,1300,64000,0.744810924,0.851925839,0.732034935,0.738776,0.738776,5
20,0,2620,1,1,4,3,1,400,47400,0.724807563,0.876604866,0.660670967,0.744116,0.544116,9
46,0,2788,0,2,3,1,1,1200,38400,0.499115966,0.883248788,0.677478948,0.409561,0.709561,8
43,0,2050,0,6,7,3,1,450,40050,0.722339496,0.957487879,0.789114302,0.767223,0.667223,12
28,1,3090,3,1,3,2,1,1200,55500,0.562804202,0.859826719,0.455555926,0.692454,0.492454,6
26,0,1860,9,1,4,2,1,650,59750,0.705904202,0.859815496,0.721048097,0.46326,0.66326,6
27,0,3155,0,5,2,8,1,600,61500,0.646046218,0.771042826,0.745380864,0.57524,0.47524,6
45,0,5065,0,2,2,5,1,1100,76500,0.68504958,0.844103519,0.8192665,0.425927,0.425927,6
35,1,3285,0,3,2,4,1,450,78650,0.69924958,0.86421485,0.794379256,0.694761,0.494761,4
39,0,3055,4,3,6,2,1,400,41950,0.855959664,0.963110523,0.916067054,0.769796,0.869796,6
46,1,4140,6,2,2,3,1,600,62550,0.66830084,0.88100422,0.654877207,0.745111,0.545111,7
41,1,2908,0,2,2,3,0,600,46950,0.527895798,0.858715658,0.744277046,0.426441,0.526441,9
40,0,1610,5,1,5,2,0,900,65750,0.774623529,0.94160756,0.840108978,0.540727,0.540727,8
54,0,6170,1,6,2,7,1,900,67700,0.769502521,0.921507452,0.896328394,0.679271,0.779271,7
44,0,1770,0,4,5,1,1,600,67400,0.65599916,0.867581702,0.692973472,0.671863,0.571863,4
57,1,4635,0,2,1,3,1,500,72950,0.842634454,0.856358862,0.792469395,0.484976,0.484976,2
64,0,1670,0,5,1,3,0,500,74500,0.70035042,0.772198779,0.755453845,0.539955,0.339955,2
47,0,5295,0,6,2,4,0,400,86950,0.576554622,0.96863216,0.744235118,0.561684,0.761684,4
38,1,4240,0,2,3,3,1,500,73800,0.747131933,0.97538831,0.939236107,0.802888,0.602888,2
46,1,5295,0,4,3,2,1,1100,54450,0.707115966,0.974142575,0.8804009,0.628725,0.828725,6
53,0,2735,0,2,1,3,0,800,51300,0.691707563,0.932674178,0.814393443,0.553366,0.453366,6
31,1,8145,0,2,7,4,1,1900,76050,0.621121008,0.878804543,0.799495324,0.59508,0.59508,7
55,0,5095,0,10,1,10,1,1200,60150,0.482610924,0.858726881,0.696291771,0.315545,0.415545,9
38,0,4080,0,2,5,2,1,900,75450,0.785202521,0.921608458,0.872953979,0.569502,0.769502,4
27,0,2043,3,0,7,3,0,500,82400,0.709806723,0.87666098,0.462232741,0.571251,0.571251,4
29,0,2270,0,4,2,4,0,600,38600,0.675585714,0.896895762,0.77170136,0.344405,0.644405,17
39,1,3220,0,5,2,7,0,800,34500,0.852345378,0.873316574,0.740768788,0.791702,0.691702,4
35,1,3867,0,6,5,2,1,900,69500,0.706286555,0.957510325,0.589233411,0.559021,0.759021,7
51,1,6535,0,1,2,0,1,400,57850,0.705778992,0.912473065,0.823804133,0.522876,0.622876,8
53,0,3715,0,6,2,7,1,1200,66000,0.5319,0.868816215,0.80586752,0.711637,0.711637,3
72,0,3750,0,4,2,4,0,800,60650,0.612742857,0.960776172,0.605215668,0.701313,0.401313,9
34,0,6170,0,2,2,7,1,600,50350,0.572127731,0.877671036,0.691731035,0.436664,0.436664,9
53,1,3120,0,7,2,7,1,900,68900,0.625878992,0.8844833,0.717298538,0.396914,0.396914,18
52,1,6010,0,3,3,8,1,2800,40800,0.572227731,0.763164392,0.612337433,0.548442,0.448442,13
31,0,3630,0,2,6,3,1,500,46150,0.55035042,0.920295385,0.566363844,0.369436,0.369436,3
46,0,1995,0,4,1,0,1,500,61500,0.664791597,0.857492368,0.840029401,0.503617,0.503617,8
36,0,2675,0,7,4,2,1,800,50450,0.523105042,0.759864877,0.612069607,0.385053,0.585053,7
39,0,3730,4,3,6,7,1,400,37350,0.628473109,0.850803555,0.530796092,0.704527,0.504527,3
58,1,1530,0,2,2,3,1,1000,89950,0.757140336,0.867671485,0.872092317,0.751293,0.551293,7
53,0,5030,0,6,6,3,1,400,43150,0.600221008,0.827325373,0.842510852,0.393348,0.693348,3
46,0,6080,0,2,2,7,1,700,73350,0.655380672,0.900083049,0.737113354,0.682982,0.782982,4
34,0,2075,0,3,2,6,1,400,55900,0.612838655,0.861981505,0.709302276,0.588555,0.488555,5
45,0,3240,0,4,1,6,1,500,55800,0.788505042,0.929318549,0.717241208,0.808059,0.508059,5
55,0,3185,5,0,7,3,1,800,49350,0.672068067,0.770021548,0.725792802,0.274121,0.574121,7
59,0,2585,0,3,1,0,1,600,77700,0.639012605,0.867705154,0.733652157,0.521995,0.721995,10
38,1,6105,0,3,2,4,1,600,32750,0.708476471,0.772266116,0.58722258,0.739243,0.439243,15
52,0,2170,0,2,5,2,0,600,73950,0.683396639,0.861970282,0.721503314,0.720969,0.720969,7
22,0,2280,5,0,4,2,1,400,43200,0.759389076,0.793477285,0.66091569,0.569966,0.569966,6
49,1,8230,0,4,1,4,1,900,33300,0.672984874,0.876571198,0.669734254,0.482763,0.782763,17
44,1,3170,0,2,1,3,0,400,67700,0.693889076,0.853014455,0.528998324,0.443311,0.443311,4
57,0,4082,0,2,7,3,1,900,44450,0.826013445,0.966297809,0.86014798,0.877813,0.677813,7
40,1,3725,2,2,4,3,1,900,53450,0.506310924,0.919251661,0.639995345,0.820512,0.820512,2
51,1,2030,0,2,2,7,1,700,79350,0.784818487,0.871094451,0.682623253,0.795926,0.495926,5
22,0,1735,6,1,2,4,0,500,38300,0.721189916,0.893427904,0.61004423,0.701671,0.501671,8
30,1,1510,4,1,1,3,1,450,43700,0.54282521,0.876683426,0.821662384,0.452186,0.652186,10
47,0,2040,0,2,2,2,0,400,58050,0.826595798,0.851869725,0.517042863,0.790254,0.790254,3
46,0,5060,0,6,7,3,1,1100,73450,0.716464706,0.941753457,0.935372744,0.693597,0.693597,2
30,1,3745,0,2,2,2,0,600,66850,0.797135294,0.854248967,0.498868373,0.781228,0.581228,5
32,0,3612,4,4,2,7,1,1900,77450,0.585544538,0.87764859,0.767227902,0.501857,0.601857,4
48,0,1515,0,2,1,2,1,1000,83650,0.700612605,0.901340007,0.60322195,0.598018,0.898018,7
41,0,4140,0,3,5,2,1,700,79150,0.884589076,0.920295385,0.748183193,0.662939,0.662939,7
46,0,3580,0,6,2,4,0,700,81600,0.730663025,0.767687197,0.731281943,0.913201,0.913201,7
34,0,2995,0,3,2,4,0,425,58800,0.676064706,0.896828425,0.640629399,0.408173,0.408173,22
28,0,2385,9,1,4,2,1,1700,63650,0.612584874,0.739663764,0.545950058,0.726499,0.426499,3
32,1,1700,0,2,1,4,0,850,61050,0.75877395,0.832858233,0.498696382,0.715339,0.515339,5
34,1,4453,1,3,2,3,1,350,50750,0.625847059,0.864248519,0.79362113,0.388386,0.288386,12
63,1,1715,0,6,1,6,1,400,72300,0.612856303,0.859725714,0.625886156,0.640621,0.740621,7
34,0,3595,2,6,8,3,1,1100,62250,0.843391597,0.873215568,0.80389006,0.520062,0.620062,7
55,0,4535,0,3,5,3,1,1200,62600,0.783795798,0.921395224,0.744175221,0.618105,0.718105,5
33,0,2505,0,2,4,2,1,600,58900,0.611594118,0.957409319,0.808805044,0.612613,0.512613,11
57,0,2170,0,5,2,6,1,550,74650,0.663304202,0.87666098,0.815169539,0.833851,0.733851,6
49,0,4692,3,1,6,4,0,1700,83600,0.696947059,0.911294667,0.843674567,0.507085,0.807085,8
60,1,3720,0,3,0,0,1,2950,68400,0.813231092,0.925974143,0.929948634,0.845044,0.645044,5
43,0,1690,0,2,2,6,1,800,60600,0.722708403,0.885583139,0.693624639,0.703598,0.803598,5
36,0,2495,0,3,5,2,1,800,66350,0.68557395,0.890162058,0.674452434,0.507676,0.707676,4
57,0,3160,2,0,5,3,1,400,47600,0.716537815,0.89459508,0.718712965,0.60526,0.60526,5
24,0,2050,0,6,6,4,1,500,61750,0.782109244,0.866549201,0.699022223,0.719201,0.819201,6
46,0,1945,9,1,3,1,0,600,49950,0.736707563,0.810390106,0.613749293,0.646515,0.746515,4
32,0,3755,0,3,2,4,0,700,56900,0.666742857,0.848525319,0.749008061,0.773244,0.573244,3
39,0,3095,0,5,6,2,1,1100,50150,0.710205882,0.851948285,0.589054576,0.612197,0.512197,8
41,0,5010,0,3,2,5,1,600,32850,0.576805042,0.923841803,0.697152578,0.710539,0.810539,6
67,1,4165,1,3,3,2,0,1000,84900,0.737368908,0.940563836,0.585465028,0.673991,0.773991,6
59,1,3650,0,4,1,6,0,500,60800,0.739653782,0.841870174,0.695432675,0.821625,0.721625,4
58,0,3630,0,1,2,5,1,400,79950,0.84960084,0.937163315,0.793393521,0.675742,0.575742,5
54,1,2640,0,2,2,4,1,500,62850,0.688963866,0.939362992,0.915313206,0.762764,0.862764,5
37,0,2265,1,9,4,2,1,1100,72250,0.761676471,0.901205333,0.727568323,0.69218,0.89218,2
55,0,3295,0,2,2,3,1,1250,83400,0.76837479,0.976387143,0.806327016,0.63049,0.93049,4
32,0,3430,0,3,5,3,1,800,34350,0.786495798,0.873226791,0.578633336,0.620783,0.820783,11
21,0,3555,0,3,2,4,1,700,53550,0.628801681,0.850848447,0.550266927,0.696255,0.696255,7
42,1,4775,0,9,3,1,1,400,59250,0.764416807,0.955265757,0.714026445,0.734277,0.834277,5
24,1,3867,4,1,1,2,1,700,69700,0.783795798,0.887861375,0.606903911,0.460604,0.560604,2
35,1,3535,0,7,6,2,1,1200,70700,0.648751261,0.902383731,0.676909926,0.871921,0.771921,13
39,1,2560,11,3,11,4,1,1100,38100,0.692053782,0.855292692,0.804276824,0.643001,0.643001,6
30,0,2065,0,3,2,11,1,500,53900,0.732537815,0.945109086,0.886040639,0.665395,0.765395,5
59,1,2580,5,1,2,7,1,1200,67700,0.490508403,0.921496229,0.766375652,0.737089,0.737089,9
37,0,3650,0,7,2,4,1,800,56750,0.723121008,0.918196714,0.749811538,0.818764,0.718764,17
24,1,5055,5,0,2,1,1,802,11100,0.53257479,0.841926288,0.564645653,0.370394,0.570394,9
47,0,5765,1,6,9,7,1,1200,76850,0.786330252,0.975276082,0.770335706,0.903404,0.903404,5
56,0,3965,0,3,3,2,1,1450,83950,0.661358824,0.810300323,0.847548198,0.35234,0.55234,4
31,1,1535,0,7,2,3,1,900,62200,0.860527731,0.942886964,0.87076089,0.845761,0.945761,9
44,1,3050,6,1,4,3,1,900,74450,0.775772269,0.919251661,0.752261329,0.616314,0.716314,2
68,1,3145,6,0,2,4,0,600,35850,0.718227731,0.74087583,0.66862958,0.569488,0.569488,5
22,0,2550,5,0,5,3,1,900,63000,0.827551261,0.883271234,0.656300191,0.61577,0.41577,6
37,0,1815,0,6,2,4,1,500,61050,0.778907563,0.831803286,0.72077856,0.710942,0.710942,6
44,0,2520,0,3,2,4,1,400,54800,0.73382521,0.916928533,0.931666825,0.539975,0.739975,3
44,0,3680,0,4,2,5,0,1600,74850,0.766252941,0.957510325,0.929609788,0.820233,0.820233,7
47,0,3410,0,9,2,11,1,900,69300,0.639911765,0.858704435,0.830290989,0.50032,0.40032,10
42,0,5575,0,3,2,4,1,1900,81450,0.766084874,0.975264859,0.875515008,0.609832,0.709832,4
36,0,2680,4,3,6,2,1,600,47200,0.541030252,0.869972167,0.815797603,0.545536,0.745536,3
31,0,2840,2,2,3,3,1,400,72000,0.650127731,0.849670048,0.866613444,0.701689,0.801689,10
57,1,5045,0,5,3,3,1,2700,59000,0.789836134,0.904572185,0.743381157,0.613075,0.813075,11
48,0,3260,0,2,4,2,1,700,55700,0.520251261,0.886716646,0.581589686,0.287864,0.487864,2
34,0,3165,0,5,4,8,1,3200,76500,0.524097479,0.855292692,0.648490465,0.751353,0.651353,8
22,0,1595,8,2,6,4,1,450,41250,0.693547899,0.844103519,0.564668756,0.393937,0.493937,3
27,0,1263,0,2,4,3,1,600,40750,0.704369748,0.850882115,0.755321215,0.586871,0.486871,8
52,1,3130,0,5,2,6,1,2800,50100,0.657151261,0.932662956,0.817992403,0.841925,0.741925,18
45,0,3725,10,5,9,2,1,1200,80300,0.746922689,0.950630724,0.72761453,0.51008,0.81008,6
42,1,3135,3,2,4,1,1,2500,73800,0.739197479,0.900251392,0.749903951,0.737633,0.837633,9
